label,index,middle,ring
FEEL,0,36,67
FEEL,0,32,71
FEEL,0,31,67
FEEL,0,30,71
FEEL,0,0,67
FEEL,0,30,67
FEEL,0,35,67
FEEL,0,43,75
FEEL,0,51,75
FEEL,27,60,78
FEEL,30,65,75
FEEL,35,72,78
FEEL,35,79,75
FEEL,40,88,75
FEEL,47,93,78
FEEL,52,97,75
FEEL,52,100,75
FEEL,55,100,78
FEEL,57,100,78
FEEL,52,93,75
FEEL,40,83,71
FEEL,35,71,71
FEEL,32,62,75
FEEL,30,57,71
FEEL,0,37,92
FEEL,0,41,92
FEEL,25,44,89
FEEL,0,45,82
FEEL,0,44,82
FEEL,0,38,78
FEEL,0,34,71
FEEL,0,30,75
FEEL,0,0,71
FEEL,0,0,67
FEEL,0,0,64
FEEL,0,32,67
FEEL,0,35,71
FEEL,0,37,75
FEEL,0,41,78
FEEL,27,44,82
FEEL,27,51,82
FEEL,35,59,82
FEEL,40,68,85
FEEL,42,74,78
FEEL,47,79,85
FEEL,50,82,85
FEEL,47,82,85
FEEL,42,76,78
FEEL,37,67,75
FEEL,32,56,64
FEEL,25,46,67
FEEL,0,39,67
FEEL,0,34,71
FEEL,0,32,75
FEEL,0,32,75
FEEL,25,38,78
FEEL,25,41,75
FEEL,0,46,75
FEEL,25,50,78
FEEL,30,56,82
FEEL,35,63,82
FEEL,35,71,89
FEEL,42,77,82
FEEL,50,82,78
FEEL,50,84,75
FEEL,50,86,75
FEEL,47,83,75
FEEL,37,73,67
FEEL,32,62,67
FEEL,27,51,67
FEEL,0,42,64
FEEL,0,37,67
FEEL,0,32,64
FEEL,0,30,64
FEEL,0,31,67
FEEL,0,34,67
FEEL,0,39,67
FEEL,0,44,67
FEEL,25,47,71
FEEL,30,54,75
FEEL,35,63,75
FEEL,40,72,75
FEEL,50,77,78
FEEL,50,81,75
FEEL,47,84,78
FEEL,47,86,78
FEEL,45,83,78
FEEL,42,75,82
FEEL,37,64,82
FEEL,30,51,85
FEEL,25,43,78
FEEL,0,35,78
FEEL,0,30,78
FEEL,0,0,78
FEEL,0,0,78
FEEL,0,32,82
FEEL,27,36,78
FEEL,30,41,75
FEEL,35,44,67
FEEL,32,51,71
FEEL,37,58,67
FEEL,42,68,67
FEEL,47,75,67
FEEL,50,80,64
FEEL,55,83,60
FEEL,55,83,60
FEEL,52,81,57
FEEL,45,75,53
FEEL,40,63,57
FEEL,27,52,57
FEEL,25,44,60
