label,index,middle,ring,pinky,thumb
A,0,26,0,0,0
A,0,28,0,0,0
A,0,21,0,0,0
A,0,7,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,15,0,0,0
A,0,22,0,0,0
A,0,24,0,0,0
A,0,17,0,0,0
A,0,15,0,0,0
A,0,12,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,7,0,0,0
A,0,26,0,0,0
A,0,28,0,0,0
A,0,28,0,0,0
A,0,33,0,0,0
A,0,29,0,0,0
A,0,14,0,0,0
A,0,7,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,8,0,0,0
A,0,10,0,0,0
A,0,21,0,0,0
A,0,19,0,0,0
A,0,24,0,0,0
A,0,19,0,0,0
A,0,12,0,0,0
A,0,7,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,15,0,0,0
A,0,21,0,0,0
A,0,33,0,0,0
A,0,35,0,0,0
A,0,29,0,0,0
A,0,33,0,0,0
A,0,22,0,0,0
A,0,12,0,0,0
A,0,10,0,0,0
A,0,3,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,1,0,0,0
A,0,14,0,0,0
A,0,21,0,0,0
A,0,24,0,0,0
A,0,33,0,0,0
A,0,42,0,0,0
A,0,35,0,0,0
A,0,33,0,0,0
A,0,33,0,0,0
A,0,33,0,0,0
A,0,15,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,1,0,0,0
A,0,8,0,0,0
A,0,19,0,0,0
