label,index,middle,ring,pinky,thumb
A,0,96,99,0,49
A,0,94,99,0,52
A,0,100,99,0,47
A,0,100,99,0,45
A,0,100,99,0,44
A,0,100,99,0,44
A,0,100,99,0,44
A,0,90,99,0,39
A,0,90,99,0,37
A,0,85,99,0,39
A,0,70,98,0,37
A,0,68,98,0,36
A,0,70,98,0,42
A,0,77,98,0,40
A,0,79,98,0,40
A,0,83,98,0,45
A,0,96,98,0,44
A,0,100,99,0,50
A,0,100,99,0,49
A,0,100,99,0,47
A,0,100,100,0,47
A,0,100,100,0,44
A,0,100,100,0,40
A,0,100,100,0,40
A,0,100,100,0,42
A,0,100,99,0,40
A,0,100,99,0,42
A,0,100,98,0,40
A,0,100,98,0,39
A,0,85,98,0,40
A,0,77,98,0,45
A,0,68,98,0,49
A,0,66,98,0,50
A,0,66,98,0,50
A,0,70,98,0,54
A,0,79,98,0,52
A,0,94,98,0,55
A,0,100,99,0,52
A,0,100,99,0,55
A,0,100,100,0,55
A,0,100,100,0,57
A,0,100,100,0,50
A,0,100,100,0,50
A,0,100,100,0,45
A,0,100,100,0,40
A,0,100,99,0,37
A,0,100,99,0,36
A,0,100,98,0,40
A,0,100,98,0,37
A,0,90,98,0,37
A,0,79,98,0,34
A,0,72,98,0,37
A,0,70,98,0,36
A,0,66,98,0,44
A,0,72,98,0,42
A,0,85,98,0,45
A,0,100,99,0,45
A,0,100,99,0,44
A,0,100,100,0,45
A,0,100,100,0,45
A,0,100,100,0,49
A,0,100,100,0,47
A,0,100,100,0,45
A,0,100,100,0,40
A,25,100,100,0,45
A,25,100,99,0,45
A,0,100,99,0,40
A,0,100,99,0,40
A,0,88,99,0,39
A,32,75,98,0,37
A,32,72,98,0,37
A,32,68,98,0,40
A,32,81,98,0,42
A,32,74,98,0,42
A,32,90,98,0,44
A,42,98,99,0,47
A,52,100,99,0,52
A,52,100,99,0,54
A,52,100,99,0,50
A,42,100,100,0,47
A,42,100,100,0,47
A,41,100,100,0,47
A,41,100,100,0,49
A,31,100,100,0,52
A,0,100,100,0,50
A,0,100,99,0,50
A,0,100,99,0,47
A,0,83,99,0,47
A,0,70,98,0,52
A,0,61,98,0,54
A,0,46,98,0,52
A,0,40,98,0,49
A,0,35,98,0,50
A,0,35,98,0,47
A,0,48,98,0,42
A,0,72,98,0,37
A,0,79,99,0,42
A,0,100,99,0,40
A,0,100,99,0,37
A,0,100,100,0,42
A,0,100,100,0,44
A,0,100,100,0,40
A,0,100,100,0,34
A,0,100,100,0,32
A,0,100,100,0,32
A,0,100,99,0,34
A,0,100,99,0,32
A,0,94,99,0,31
A,0,81,98,0,27
A,0,83,98,0,0
A,0,74,98,0,0
A,0,74,98,0,0
A,0,70,98,0,27
A,0,75,98,0,32
A,0,85,98,0,37
A,0,100,98,0,39
A,0,100,98,0,37
A,0,100,99,0,36
A,0,100,99,0,42
A,0,100,100,0,47
A,0,100,100,0,49
A,0,100,100,0,45
A,0,100,100,0,47
A,0,100,100,0,44
A,0,100,99,0,42
A,0,100,99,0,39
A,0,100,99,0,44
A,0,96,99,0,44
A,0,85,98,0,40
A,0,75,98,0,39
A,0,70,98,0,37
A,0,70,98,0,40
A,0,61,98,0,39
A,0,64,98,0,37
A,0,75,98,0,37
A,0,92,98,0,40
A,0,100,99,0,39
A,0,100,99,0,40
A,0,100,99,0,44
A,0,100,100,0,42
A,0,100,100,0,47
A,0,100,100,0,45
A,0,100,100,0,45
A,0,100,100,0,49
A,0,100,100,0,47
A,0,100,99,0,47
A,0,100,99,0,45
A,0,100,99,0,44
A,0,96,98,0,40
A,0,87,98,0,40
A,0,79,98,0,39
A,0,70,98,0,39
A,0,68,98,0,42
A,0,70,98,0,40
A,0,81,98,0,45
A,0,88,99,0,45
A,0,100,99,0,45
A,0,100,99,0,45
A,0,100,99,0,47
A,0,100,100,0,49
A,0,100,100,0,47
A,0,100,100,0,45
A,0,100,100,0,44
A,0,100,100,0,44
A,0,100,99,0,40
A,0,100,99,0,36
A,0,100,99,0,37
A,0,96,98,0,40
A,0,85,98,0,37
A,0,72,98,0,37
A,0,64,98,0,36
A,0,64,98,0,39
A,0,66,98,0,37
A,0,64,98,0,40
A,0,74,98,0,40
A,0,87,98,0,42
A,0,100,99,0,40
A,0,100,99,0,40
A,0,100,99,0,45
A,0,100,100,0,47
A,0,100,100,0,49
A,0,100,100,0,45
A,0,100,100,0,45
A,0,100,100,0,42
A,0,100,100,0,44
A,0,100,99,0,42
A,0,96,99,0,44
A,0,83,99,0,42
A,0,75,98,0,44
A,0,61,98,0,42
A,0,64,98,0,42
A,0,61,98,0,45
A,0,61,98,0,44
A,0,66,98,0,45
A,0,77,98,0,45
A,0,85,99,0,49
A,0,96,99,0,49
A,0,100,99,0,49
A,0,100,100,0,45
A,0,100,100,0,42
A,0,100,100,0,39
A,0,100,100,0,39
A,0,100,100,0,39
A,0,100,99,0,36
A,0,100,99,0,36
A,0,100,98,0,31
A,0,100,98,0,31
A,0,92,98,0,29
A,0,74,98,0,31
A,0,68,98,0,34
A,0,61,98,0,37
A,0,61,98,0,37
A,0,59,98,0,37
A,0,66,98,0,37
A,0,77,98,0,40
A,0,88,99,0,44
A,0,98,99,0,44
A,0,100,99,0,42
A,0,100,100,0,44
A,0,100,100,0,40
A,0,100,100,0,39
A,0,100,100,0,37
A,0,100,99,0,39
A,0,100,99,0,39
A,0,98,99,0,37
A,0,83,99,0,37
A,0,74,99,0,37
A,0,70,98,0,39
A,0,66,98,0,39
A,0,68,98,0,44
A,0,74,98,0,44
A,0,75,98,0,44
A,0,90,99,0,44
A,0,100,99,0,50
A,0,100,99,0,52
A,0,100,100,0,54
A,0,100,100,0,52
A,0,100,100,0,54
A,0,100,100,0,54
A,0,100,100,0,54
A,0,100,100,0,52
A,0,100,99,0,49
A,0,100,99,0,47
A,0,100,99,0,42
A,0,100,99,0,37
A,0,92,98,0,39
A,0,83,98,0,42
A,0,74,98,0,42
A,0,66,98,0,42
A,0,68,98,0,39
A,0,75,98,0,40
A,0,85,98,0,44
A,0,92,98,0,45
A,0,100,99,0,49
A,0,100,99,0,49
A,0,100,99,0,45
A,0,100,100,0,42
A,0,100,100,0,39
A,0,100,100,0,40
A,0,100,100,0,39
A,0,100,100,0,39
A,0,100,100,0,36
A,0,100,99,0,32
A,0,100,99,0,27
A,0,100,98,0,31
A,0,92,98,0,32
A,0,79,98,0,32
A,0,66,98,0,36
A,0,62,98,0,34
A,0,57,98,0,34
A,0,61,98,0,36
A,0,66,98,0,39
A,0,75,98,0,44
A,0,85,99,0,47
A,0,98,99,0,45
A,0,100,100,0,45
A,0,100,100,0,49
A,0,100,100,0,44
A,0,100,100,0,44
A,0,100,100,0,45
A,0,100,100,0,44
A,0,100,99,0,42
A,0,100,99,0,39
A,0,100,99,0,40
A,0,100,98,0,40
A,0,98,98,0,39
A,0,87,98,0,37
A,0,77,98,0,39
A,0,72,98,0,42
A,0,70,98,0,45
A,0,72,98,0,45
A,0,77,98,0,49
A,0,83,99,0,49
A,0,92,99,0,47
A,0,100,99,0,50
A,0,100,100,0,54
A,0,100,100,0,55
A,0,100,100,0,50
A,0,100,100,0,50
A,0,100,100,0,45
A,0,100,100,0,44
A,0,100,100,0,39
A,0,100,99,0,36
A,0,100,99,0,36
A,0,92,99,0,31
A,0,81,99,0,29
A,0,79,98,0,27
A,0,75,98,0,32
A,0,70,98,0,29
A,0,64,98,0,34
A,0,72,98,0,39
A,0,75,99,0,44
A,0,81,99,0,49
A,0,98,99,0,49
A,0,100,99,0,54
A,0,100,99,0,55
A,0,100,100,0,57
A,0,100,100,0,54
A,0,100,100,0,55
A,0,100,100,0,50
A,0,100,100,0,45
A,0,100,99,0,44
A,0,100,99,0,44
A,0,98,99,0,44
A,0,85,98,0,40
A,0,72,98,0,39
A,0,55,98,0,40
A,0,59,98,0,44
A,0,57,98,0,42
A,0,66,98,0,47
A,0,68,98,0,49
A,0,75,98,0,49
A,0,83,99,0,49
A,0,92,99,0,47
A,0,100,99,0,49
A,0,100,99,0,50
A,0,100,100,0,50
A,0,100,100,0,47
A,0,100,100,0,45
A,0,100,100,0,40
A,0,100,99,0,40
A,0,100,99,0,39
A,0,100,99,0,39
A,0,100,98,0,37
A,0,92,98,0,36
A,0,81,98,0,36
A,0,74,98,0,36
A,0,74,98,0,39
A,0,74,98,0,40
A,0,77,98,0,40
A,0,85,98,0,39
A,0,92,98,0,44
A,0,100,99,0,45
A,0,100,99,0,47
A,0,100,99,0,45
A,0,100,100,0,49
A,0,100,100,0,49
A,0,100,100,0,45
A,0,100,100,0,47
A,0,100,100,0,45
A,0,100,99,0,47
A,0,100,99,0,44
A,0,100,99,0,40
A,0,100,98,0,42
A,0,88,98,0,45
A,0,81,98,0,45
A,0,74,98,0,47
A,0,77,98,0,50
A,0,79,98,0,47
A,0,83,98,0,54
A,0,79,98,0,50
A,0,87,99,0,49
A,0,98,99,0,49
A,0,100,99,0,47
A,0,100,100,0,47
A,0,100,100,0,47
A,0,100,100,0,44
A,0,100,100,0,44
A,0,100,100,0,44
A,0,100,99,0,37
A,0,100,99,0,37
A,0,100,98,0,40
A,0,87,98,0,44
A,0,72,98,0,40
A,0,59,98,0,40
A,0,59,98,0,36
A,0,55,98,0,40
A,0,62,98,0,39
A,0,59,98,0,42
A,0,83,98,0,45
A,0,83,99,0,47
A,0,94,99,0,47
A,0,100,99,0,47
A,0,100,99,0,50
A,0,100,100,0,49
A,0,100,100,0,47
A,0,100,100,0,47
A,0,100,100,0,45
A,0,100,100,0,42
A,0,100,99,0,42
A,0,100,99,0,44
A,0,96,99,0,42
A,0,83,99,0,36
A,0,77,99,0,34
A,0,66,99,0,32
A,0,64,99,0,37
A,0,72,99,0,36
A,0,74,99,0,37
A,0,81,99,0,42
A,0,90,99,0,44
A,0,83,99,0,40
A,0,96,99,0,40
A,0,100,100,0,47
A,0,100,100,0,50
A,0,100,100,0,50
A,0,100,100,0,49
A,0,100,100,0,47
A,0,100,100,0,44
A,0,100,100,0,44
A,0,98,99,0,45
A,0,94,99,0,44
A,0,92,99,0,42
A,0,79,99,0,42
A,0,72,98,0,37
A,0,59,98,0,34
A,0,59,98,0,32
A,0,46,98,0,34
A,0,50,98,0,32
A,0,55,98,0,31
A,0,72,98,0,34
A,0,77,98,0,36
A,0,83,99,0,37
A,0,98,99,0,32
A,0,100,99,0,37
A,0,100,100,0,44
A,0,100,100,0,42
A,0,100,100,0,40
A,0,100,100,0,45
A,0,100,100,0,44
A,0,100,99,0,37
A,0,100,99,0,40
A,0,88,98,0,36
A,0,79,98,0,39
A,0,68,98,0,37
A,0,62,98,0,34
A,0,66,98,0,34
A,0,68,98,0,34
A,0,68,98,0,32
A,0,79,98,0,37
A,0,88,98,0,36
A,0,100,98,0,37
A,0,100,99,0,44
A,0,100,99,0,44
A,0,100,99,0,42
A,0,100,100,0,44
A,0,100,100,0,47
A,0,100,100,0,50
A,0,100,100,0,49
A,0,100,99,0,47
A,0,100,99,0,50
A,0,100,99,0,45
A,0,100,98,0,40
A,0,81,98,0,40
A,0,68,98,0,42
A,0,59,98,0,37
A,0,53,98,0,34
A,0,51,98,0,34
A,0,53,98,0,37
A,0,55,98,0,39
A,0,66,98,0,39
A,0,75,98,0,45
A,0,88,99,0,42
A,0,100,99,0,39
A,0,100,99,0,44
A,0,100,100,0,47
A,0,100,100,0,52
A,0,100,100,0,49
A,0,100,100,0,45
A,0,100,100,0,37
A,0,100,99,0,37
A,0,100,99,0,32
A,0,94,99,0,37
A,0,85,98,0,36
A,0,66,98,0,34
A,0,61,98,0,36
A,0,61,98,0,36
A,0,59,98,0,37
A,0,68,98,0,37
A,0,75,98,0,40
A,0,85,99,0,42
A,0,96,99,0,42
A,0,100,99,0,40
A,0,100,99,0,42
A,0,100,100,0,44
A,0,100,100,0,40
A,0,100,100,0,40
A,0,100,100,0,39
A,0,100,100,0,39
A,0,100,100,0,39
A,0,100,99,0,40
A,0,100,99,0,37
A,0,100,99,0,40
A,0,90,98,0,40
A,0,81,98,0,42
A,0,72,98,0,42
A,0,68,98,0,40
A,0,66,98,0,37
A,0,72,98,0,42
A,0,79,98,0,44
A,0,88,99,0,42
A,0,100,99,0,44
A,0,100,99,0,40
A,0,100,100,0,42
A,0,100,100,0,39
A,0,100,100,0,42
A,0,100,100,0,42
A,0,100,100,0,42
A,0,100,99,0,39
A,0,100,99,0,34
A,0,100,99,0,31
A,0,100,98,0,32
A,0,100,98,0,31
A,0,87,98,0,29
A,0,72,98,0,31
A,0,62,98,0,31
A,0,55,98,0,32
A,0,57,98,0,36
A,0,61,98,0,39
A,0,64,98,0,39
A,0,75,98,0,45
A,0,90,99,0,45
A,0,100,99,0,49
A,0,100,99,0,45
A,0,100,100,0,44
A,0,100,100,0,45
A,0,100,100,0,44
A,0,100,100,0,42
A,0,100,100,0,40
A,0,100,99,0,36
A,0,100,99,0,36
A,0,100,99,0,32
A,0,92,98,0,29
A,0,81,98,0,34
A,0,72,98,0,36
A,0,64,98,0,32
A,0,59,98,0,29
A,0,62,98,0,29
A,0,72,98,0,31
A,0,77,98,0,37
A,0,85,98,0,37
A,0,94,99,0,42
A,0,100,99,0,47
A,0,100,99,0,44
A,0,100,100,0,42
A,0,100,100,0,42
A,0,100,100,0,42
A,0,100,100,0,42
A,0,100,99,0,42
A,0,100,99,0,39
A,0,100,99,0,34
A,0,100,99,0,32
A,0,83,98,0,31
A,0,70,98,0,32
A,0,70,98,0,34
A,0,74,98,0,40
A,0,75,98,0,42
A,0,81,98,0,44
A,0,88,98,0,44
A,0,100,98,0,49
A,0,100,98,0,50
A,0,100,99,0,52
A,0,100,99,0,52
A,0,100,99,0,52
A,0,100,100,0,49
A,0,100,100,0,45
A,0,100,100,0,45
A,0,100,100,0,44
A,0,100,100,0,42
A,0,100,99,0,42
A,0,100,99,0,40
A,0,81,99,0,39
A,0,74,98,0,44
A,0,74,98,0,39
A,0,62,98,0,40
A,0,55,98,0,42
A,0,62,98,0,40
A,0,68,98,0,40
A,0,81,98,0,45
A,0,79,99,0,44
A,0,92,99,0,47
A,0,100,99,0,45
A,0,100,99,0,39
A,0,100,99,0,42
A,0,100,100,0,39
A,0,100,100,0,39
A,0,100,100,0,40
A,0,100,100,0,44
A,0,100,100,0,40
A,0,100,99,0,42
A,0,90,99,0,42
A,0,85,98,0,40
A,0,70,98,0,44
A,0,62,98,0,42
A,0,38,98,0,45
A,0,38,98,0,47
A,0,37,98,0,44
A,0,44,98,0,39
A,0,51,98,0,40
A,0,66,98,0,40
A,0,85,99,0,42
A,0,100,99,0,44
A,0,100,100,0,40
A,0,100,100,0,42
A,0,100,100,0,40
A,0,100,100,0,36
A,0,100,100,0,37
A,0,100,100,0,37
A,0,100,100,0,37
A,0,100,100,0,36
A,0,96,99,0,34
A,0,81,99,0,36
A,0,70,99,0,36
A,0,62,98,0,34
A,0,62,98,0,34
A,0,68,98,0,39
A,0,74,98,0,39
A,0,81,98,0,37
A,0,94,98,0,39
A,0,100,98,0,40
A,0,100,99,0,40
A,0,100,99,0,36
A,0,100,99,0,37
A,0,100,100,0,39
A,0,100,100,0,40
A,0,100,100,0,39
A,0,100,100,0,40
A,0,100,100,0,42
A,0,100,100,0,40
A,0,100,99,0,36
A,0,100,99,0,34
A,0,94,99,0,34
A,0,85,99,0,32
A,0,62,98,0,37
A,0,50,98,0,36
A,0,42,98,0,34
A,0,38,98,0,32
A,0,37,98,0,32
A,0,44,98,0,31
A,0,51,99,0,36
A,0,53,99,0,39
A,0,72,99,0,39
A,0,77,99,0,40
A,0,100,100,0,37
A,0,100,100,0,39
A,0,100,100,0,40
A,0,100,100,0,39
A,0,100,100,0,37
A,0,100,99,0,39
A,0,81,99,0,37
A,0,88,99,0,36
A,0,70,99,0,40
A,0,59,98,0,40
A,0,50,98,0,42
A,0,46,98,0,42
A,0,50,98,0,40
A,0,55,98,0,45
A,0,66,98,0,47
A,0,83,98,0,45
A,0,100,99,0,49
A,0,100,99,0,50
A,0,100,99,0,50
A,0,100,100,0,50
A,0,100,100,0,50
A,0,100,100,0,49
A,0,100,100,0,49
A,0,100,100,0,49
A,0,100,99,0,47
A,0,100,99,0,45
A,0,98,99,0,44
A,0,85,98,0,39
A,0,75,98,0,37
A,0,51,98,0,37
A,0,50,98,0,34
A,0,48,98,0,37
A,0,57,98,0,39
A,0,62,98,0,39
A,0,64,98,0,39
A,0,75,99,0,40
A,0,88,99,0,40
A,0,100,100,0,42
A,0,100,100,0,44
A,0,100,100,0,45
A,0,100,100,0,47
A,0,100,100,0,42
A,0,100,100,0,40
A,0,100,100,0,40
A,0,100,99,0,34
A,0,100,99,0,34
A,0,88,99,0,34
A,0,74,98,0,36
A,0,64,98,0,37
A,0,59,98,0,34
A,0,68,98,0,34
A,0,72,98,0,37
A,0,72,98,0,39
A,0,77,98,0,42
A,0,70,99,0,45
A,0,74,99,0,49
A,0,87,99,0,49
A,0,96,99,0,47
A,0,100,100,0,47
A,0,100,100,0,50
A,0,100,100,0,50
A,0,100,100,0,47
A,0,100,100,0,49
A,0,94,99,0,42
A,0,98,99,0,40
A,0,96,99,0,36
A,0,87,99,0,32
A,0,87,99,0,32
A,0,85,99,0,31
A,0,74,99,0,26
A,0,75,99,0,0
A,0,81,99,0,0
A,0,100,99,0,0
A,0,100,99,0,0
A,0,100,99,0,0
A,0,100,99,0,27
A,0,100,99,0,31
A,0,100,99,0,34
A,0,100,100,0,34
A,0,100,100,0,36
A,0,100,100,0,36
A,0,100,100,0,37
A,0,100,100,0,37
A,0,100,100,0,36
A,0,90,99,0,37
A,0,81,99,0,36
A,0,61,99,0,34
A,0,40,98,0,32
A,0,33,98,0,34
A,0,33,98,0,37
A,0,37,98,0,37
A,0,46,98,0,39
A,0,53,98,0,39
A,0,66,98,0,44
A,0,87,98,0,42
A,0,94,99,0,42
A,0,100,99,0,42
A,0,100,99,0,39
A,0,100,100,0,40
A,0,100,100,0,37
A,0,100,100,0,37
A,0,100,100,0,37
A,0,100,100,0,39
A,0,100,99,0,36
A,0,100,99,0,36
A,0,92,99,0,36
A,0,92,99,0,36
A,0,75,98,0,37
A,0,62,98,0,34
A,0,66,98,0,36
A,0,57,98,0,36
A,0,51,98,0,34
A,0,50,98,0,34
A,0,57,98,0,37
A,0,75,99,0,40
A,0,100,99,0,40
A,0,100,99,0,44
A,0,100,99,0,45
A,0,100,100,0,47
A,0,100,100,0,45
A,0,100,100,0,49
A,0,100,100,0,49
A,0,100,100,0,49
A,0,100,99,0,44
A,0,100,99,0,39
A,0,79,99,0,36
A,0,72,98,0,32
A,0,57,98,0,29
A,0,55,98,0,29
A,0,44,98,0,31
A,0,42,98,0,29
A,0,42,98,0,29
A,0,48,98,0,29
A,0,64,98,0,32
A,0,87,98,0,36
A,0,100,99,0,39
A,0,100,99,0,37
A,0,100,99,0,36
A,0,100,99,0,32
A,0,100,100,0,36
A,0,100,100,0,36
A,0,100,100,0,36
A,0,100,100,0,36
A,0,100,100,0,36
A,0,100,99,0,32
A,0,100,99,0,32
A,0,100,99,0,36
A,0,100,98,0,37
A,0,77,98,0,42
A,0,72,98,0,39
A,0,66,98,0,36
A,0,61,98,0,37
A,0,64,98,0,36
A,0,79,98,0,36
A,0,92,98,0,36
A,0,94,99,0,34
A,0,100,99,0,32
A,0,100,99,0,32
A,0,100,100,0,32
A,0,100,100,0,34
A,0,100,100,0,40
A,0,100,100,0,37
A,0,100,100,0,34
A,0,100,100,0,31
A,0,100,99,0,27
A,0,100,99,0,29
A,0,92,99,0,31
A,0,79,98,0,27
A,0,59,98,0,0
A,0,51,98,0,0
A,0,55,98,0,0
A,0,57,98,0,0
A,0,61,98,0,0
A,0,64,98,0,0
A,0,72,99,0,29
A,0,90,99,0,27
A,0,96,99,0,26
A,0,100,100,0,27
A,0,100,100,0,27
A,0,100,100,0,26
A,0,100,100,0,0
A,0,100,100,0,31
A,0,100,100,0,26
A,0,100,99,0,26
A,0,90,99,0,0
A,0,79,99,0,0
A,0,74,99,0,0
A,0,64,99,0,27
A,0,64,99,0,29
A,0,61,99,0,34
A,0,61,99,0,40
A,0,66,99,0,40
A,0,74,99,0,45
A,0,85,100,0,47
A,0,98,100,0,44
A,0,100,100,0,45
A,0,100,100,0,52
A,0,100,100,0,49
A,0,100,100,0,52
A,0,100,100,0,52
A,0,100,100,0,52
A,0,100,100,0,45
A,0,100,100,0,42
A,0,100,99,0,44
A,0,100,99,0,50
A,0,100,98,0,42
A,0,83,98,0,36
A,0,70,98,0,32
A,0,72,98,0,31
A,0,64,98,0,27
A,0,59,98,0,0
A,0,64,98,0,0
A,0,66,98,0,29
A,0,79,98,0,32
A,0,81,99,0,29
A,0,100,99,0,34
A,0,100,99,0,39
A,0,100,99,0,44
A,0,100,99,0,45
A,0,100,100,0,45
A,0,100,100,0,45
A,0,100,100,0,47
A,0,100,100,0,45
A,0,100,99,0,45
A,0,100,99,0,45
A,0,100,99,0,42
A,0,92,98,0,39
A,0,75,98,0,37
A,0,61,98,0,36
A,0,50,98,0,37
A,0,55,98,0,39
A,0,64,98,0,40
A,0,77,98,0,42
A,0,88,98,0,42
A,0,98,98,0,45
A,0,100,99,0,49
A,0,100,99,0,50
A,0,100,99,0,49
A,0,100,99,0,52
A,0,100,100,0,52
A,0,100,100,0,49
A,0,100,100,0,50
A,0,100,100,0,44
A,0,100,99,0,39
A,0,100,99,0,34
A,0,100,99,0,32
A,0,98,98,0,29
A,0,85,98,0,29
A,0,77,98,0,29
A,0,68,98,0,29
A,0,77,98,0,27
