label,index,middle,ring,pinky,thumb
A,100,100,100,100,41
A,100,100,100,100,41
A,100,100,100,100,40
A,100,100,100,100,40
A,100,100,100,84,40
A,100,100,100,64,40
A,100,100,100,47,40
A,100,100,100,0,37
A,100,100,100,0,38
A,100,100,100,0,38
A,100,100,100,0,41
A,100,100,100,0,42
A,100,100,100,0,41
A,100,100,100,0,41
A,100,100,100,0,41
A,100,100,100,50,41
A,100,100,100,74,42
A,100,100,100,100,40
A,100,100,100,100,42
A,100,100,100,100,43
A,100,100,100,100,42
A,100,100,100,100,43
A,100,100,100,100,38
A,100,100,100,100,35
A,100,100,100,100,35
A,100,100,100,100,34
A,100,100,100,84,34
A,100,100,100,56,33
A,100,100,100,0,32
A,100,100,100,0,32
A,100,100,100,0,33
A,100,100,100,0,33
A,100,100,100,0,34
A,100,100,100,0,33
A,100,100,100,0,36
A,100,100,100,50,38
A,100,100,100,72,38
A,100,100,100,98,40
A,100,100,100,100,42
A,100,100,100,100,45
A,100,100,100,100,44
A,100,100,100,100,47
A,100,100,100,100,43
A,100,100,100,100,43
A,100,100,100,100,42
A,100,100,100,100,42
A,100,100,100,78,40
A,100,100,100,52,38
A,100,100,100,0,37
A,100,100,100,0,37
A,100,100,100,0,36
A,100,100,100,0,35
A,100,100,100,0,37
A,100,100,100,0,37
A,100,100,100,0,40
A,100,100,100,45,38
A,100,100,100,66,40
A,100,100,100,90,40
A,100,100,100,100,41
A,100,100,100,100,40
A,100,100,100,100,43
A,100,100,100,100,43
A,100,100,100,100,41
A,100,100,100,100,40
A,100,100,100,100,35
A,100,100,100,100,33
A,97,100,100,84,31
A,95,100,100,60,34
A,92,100,100,0,33
A,90,100,100,0,32
A,90,100,100,0,32
A,85,100,100,0,31
A,88,100,100,0,30
A,90,100,100,0,31
A,90,100,100,0,34
A,100,100,100,0,35
A,100,100,100,66,37
A,100,100,100,92,40
A,100,100,100,100,40
A,100,100,100,100,40
A,100,100,100,100,37
A,100,100,100,100,37
A,100,100,100,100,37
A,100,100,100,100,35
A,100,100,100,100,35
A,100,100,100,100,32
A,100,100,100,74,29
A,100,100,100,50,28
A,100,100,100,0,29
A,100,100,100,0,26
A,100,100,100,0,27
A,100,100,100,0,27
A,100,100,100,0,30
A,100,100,100,0,32
A,100,100,100,0,32
A,100,100,100,0,34
A,100,100,100,62,35
A,100,100,100,86,37
A,100,100,100,100,40
A,100,100,100,100,38
A,100,100,100,100,40
A,100,100,100,100,40
A,100,100,100,100,40
A,100,100,100,100,36
A,100,100,100,100,34
A,97,100,100,100,32
A,92,100,100,80,33
A,90,100,100,54,31
A,85,100,100,0,30
A,78,100,100,0,30
A,88,100,100,0,30
A,95,100,100,0,33
A,92,100,100,0,32
A,97,100,100,0,35
A,100,100,100,0,34
A,100,100,100,0,34
A,100,100,100,64,36
A,100,100,100,90,38
A,100,100,100,100,36
A,100,100,100,100,37
