indexRaw,indexSmooth,indexPercent,middleRaw,middleSmooth,middlePercent,label
1758,1739,5,1889,1910,0,REST
1823,1777,0,1917,1910,0,REST
1830,1784,0,1961,1915,0,REST
1858,1793,0,1924,1917,0,REST
1776,1791,0,1995,1920,0,REST
1803,1795,0,1952,1923,0,REST
1815,1798,0,1863,1919,0,REST
1764,1799,0,1907,1921,0,REST
1751,1798,0,1821,1911,0,REST
1723,1790,0,1799,1902,0,REST
1689,1783,0,1834,1897,2,REST
1710,1771,0,1836,1889,8,REST
1663,1755,0,1943,1887,9,REST
1659,1735,6,1881,1883,13,REST
1693,1727,9,1959,1879,16,REST
1712,1717,12,1926,1876,18,REST
1804,1716,13,1823,1872,21,REST
1701,1710,15,1936,1875,19,REST
1770,1712,14,1902,1883,13,REST
1776,1717,12,1932,1897,2,REST
1743,1723,10,1902,1904,0,REST
1853,1737,6,2004,1920,0,REST
1830,1754,0,1988,1925,0,REST
1809,1769,0,2041,1941,0,REST
1794,1779,0,2046,1950,0,REST
1809,1788,0,1947,1952,0,REST
1775,1786,0,1918,1961,0,REST
1807,1796,0,1911,1959,0,REST
1751,1794,0,1820,1950,0,REST
1723,1789,0,1895,1947,0,REST
1730,1788,0,1825,1939,0,REST
1680,1770,0,1791,1918,0,REST
1740,1761,0,1894,1908,0,REST
1735,1754,0,1867,1891,6,REST
1748,1749,2,1904,1877,17,REST
1705,1739,5,1873,1869,23,REST
1805,1742,4,1851,1863,28,REST
1764,1738,5,1950,1867,25,REST
1744,1737,6,1971,1882,13,REST
1778,1742,4,1907,1883,13,REST
1817,1751,1,1985,1899,0,REST
1825,1766,0,2028,1923,0,REST
1769,1769,0,2107,1944,0,REST
1914,1786,0,1984,1956,0,REST
1818,1793,0,1979,1963,0,REST
1816,1805,0,1967,1972,0,REST
1751,1799,0,1912,1979,0,REST
1742,1797,0,1893,1973,0,REST
1725,1795,0,1891,1965,0,REST
1702,1787,0,1843,1958,0,REST
1726,1778,0,1814,1941,0,REST
1727,1769,0,1814,1920,0,REST
1686,1760,0,1855,1895,3,REST
1728,1742,4,1790,1875,19,REST
1737,1734,7,1911,1869,23,REST
1804,1732,7,1888,1861,30,REST
1746,1732,7,1972,1867,25,REST
1788,1736,6,1882,1866,26,REST
1755,1739,5,1947,1871,22,REST
1801,1749,2,1987,1886,10,REST
1856,1762,0,1972,1901,0,REST
1841,1774,0,1987,1919,0,REST
1811,1786,0,1920,1925,0,REST
1798,1793,0,1957,1942,0,REST
1794,1799,0,2013,1952,0,REST
1813,1800,0,1872,1950,0,REST
1682,1793,0,1932,1946,0,REST
1695,1784,0,1863,1945,0,REST
1723,1781,0,1828,1933,0,REST
1707,1772,0,1845,1918,0,REST
