label,indexRaw,indexSmooth,indexPercent,middleRaw,middleSmooth,middlePercent,ringRaw,ringSmooth,ringPercent,pinkyRaw,pinkySmooth,pinkyPercent,thumbRaw,thumbSmooth,thumbPercent
OPEN,2039,2022,30,2086,2105,0,1699,1635,0,1381,1353,0,1597,1594,0
OPEN,2022,2022,30,2102,2104,0,1681,1656,0,1356,1355,0,1598,1596,0
OPEN,2017,2020,31,2098,2101,0,1679,1666,0,1316,1337,0,1583,1590,0
OPEN,2024,2026,29,2072,2028,33,1667,1671,0,1286,1282,0,1581,1580,0
OPEN,2015,2021,31,2093,2057,11,1671,1671,0,1270,1277,0,1580,1580,0
OPEN,2048,2033,26,2112,2082,0,1657,1665,0,1399,1332,0,1615,1596,0
OPEN,2040,2036,24,2071,2077,0,1664,1664,0,1343,1337,0,1599,1597,0
OPEN,2032,2034,25,2073,2075,0,1658,1662,0,1259,1302,0,1580,1589,0
OPEN,1999,2018,32,2092,2083,0,1659,1660,0,1288,1296,0,1567,1579,0
OPEN,2031,2018,32,2061,2077,0,1629,1647,0,1314,1306,0,1588,1583,0
OPEN,2020,2011,35,2082,2090,0,1685,1676,0,1365,1330,0,1630,1611,0
OPEN,2019,2015,33,2103,2096,0,1713,1693,0,1312,1322,0,1599,1606,0
OPEN,2013,2014,34,2069,2084,0,1703,1697,0,1223,1277,0,1565,1587,0
OPEN,2022,2015,33,2102,2108,0,1691,1683,0,1357,1338,0,1601,1592,0
OPEN,2023,2015,33,1940,2025,35,1641,1664,0,1236,1278,0,1574,1579,0
OPEN,2047,2029,27,2065,2043,21,1504,1592,3,1303,1289,0,1578,1578,2
OPEN,2017,2024,30,2060,2051,15,1473,1539,29,1268,1280,0,1593,1585,0
OPEN,2026,2025,29,2090,2068,3,1512,1527,35,1260,1271,0,1559,1573,14
OPEN,2088,2053,17,2082,2075,0,1514,1521,37,1383,1321,0,1609,1589,0
OPEN,2035,2019,32,2070,2097,0,1630,1566,16,1348,1336,0,1618,1605,0
OPEN,2046,2026,29,2060,2077,0,1560,1537,30,1265,1285,0,1576,1584,0
OPEN,2006,2017,33,2061,2070,1,1549,1542,27,1249,1269,0,1592,1588,0
OPEN,2021,2019,32,2039,2056,12,1519,1532,32,1258,1264,0,1567,1578,2
OPEN,2028,2023,30,2071,2063,6,1536,1534,31,1283,1273,0,1576,1577,4
OPEN,2019,2021,31,2132,2094,0,1563,1547,25,1331,1299,0,1601,1588,0
OPEN,2036,2028,28,2074,2085,0,1559,1552,23,1308,1303,0,1596,1592,0
OPEN,2023,2026,29,2096,2090,0,1549,1551,23,1241,1275,0,1592,1592,0
OPEN,2031,2028,28,2083,2087,0,1535,1544,26,1248,1263,0,1555,1575,9
OPEN,2000,2015,33,2073,2081,0,1502,1525,36,1255,1259,7,1586,1580,0
OPEN,2021,2018,32,2117,2097,0,1566,1543,27,1268,1263,0,1589,1584,0
OPEN,2030,2023,30,2126,2110,0,1499,1523,37,1293,1277,0,1582,1583,0
OPEN,2044,2033,26,2100,2106,0,1505,1515,40,1352,1311,0,1629,1604,0
OPEN,2044,2025,29,2087,2103,0,1622,1560,19,1262,1257,15,1580,1591,0
OPEN,2046,2025,29,2094,2095,0,1664,1652,0,1307,1307,0,1584,1595,0
OPEN,2045,2033,26,2087,2105,0,1662,1560,19,1261,1256,19,1585,1582,0
OPEN,2016,2025,29,2124,2114,0,1636,1594,2,1307,1279,0,1594,1587,0
OPEN,2041,2032,26,2121,2117,0,1641,1615,0,1312,1294,0,1608,1597,0
OPEN,2062,2048,19,2141,2119,0,1703,1588,5,1408,1324,0,1625,1610,0
OPEN,2075,2060,14,2090,2106,0,1672,1626,0,1373,1346,0,1597,1604,0
OPEN,2036,2049,19,2133,2118,0,1648,1636,0,1247,1302,0,1587,1596,0
OPEN,2027,2039,23,2150,2132,0,1682,1657,0,1218,1264,0,1602,1599,0
OPEN,2088,2061,13,2084,2111,0,1645,1651,0,1258,1261,0,1598,1598,0
OPEN,2042,2053,17,2102,2107,0,1601,1629,0,1257,1259,7,1604,1601,0
