label,indexRaw,indexSmooth,indexPercent,middleRaw,middleSmooth,middlePercent,ringRaw,ringSmooth,ringPercent,pinkyRaw,pinkySmooth,pinkyPercent,thumbRaw,thumbSmooth,thumbPercent
OPEN,2044,2013,3,1836,1849,11,1718,1703,0,1380,1304,0,1601,1588,0
OPEN,2011,2012,3,1878,1862,6,1684,1694,0,1351,1325,0,1569,1580,0
OPEN,1989,2002,7,1867,1864,5,1682,1689,0,1195,1267,0,1595,1587,0
OPEN,1983,1993,10,1932,1915,0,1688,1685,0,1419,1323,0,1595,1598,0
OPEN,1998,1995,9,1911,1913,0,1668,1677,1,1325,1324,0,1563,1582,0
OPEN,1970,1984,14,1886,1901,0,1682,1679,0,1173,1256,19,1580,1581,0
OPEN,2004,1989,12,1935,1909,0,1704,1699,0,1380,1299,0,1608,1596,0
OPEN,2024,2005,6,1898,1904,0,1702,1700,0,1377,1334,0,1551,1575,9
OPEN,2010,2007,5,1879,1893,0,1703,1701,0,1241,1292,0,1592,1583,0
OPEN,2019,2027,0,1919,1919,0,1697,1692,0,1347,1324,0,1599,1580,0
OPEN,2021,2024,0,1929,1924,0,1696,1694,0,1230,1282,0,1586,1583,0
OPEN,2027,1974,18,1989,2001,0,1661,1604,26,1392,1336,0,1587,1569,24
OPEN,2020,2020,0,2007,2014,0,1666,1648,11,1448,1335,0,1582,1577,4
OPEN,1864,1936,32,2028,2022,0,1532,1613,23,1272,1250,42,1614,1596,0
OPEN,1963,1952,26,2028,2032,0,1707,1652,10,1372,1280,0,1612,1597,0
OPEN,1965,1958,24,2035,2033,0,1715,1680,0,1346,1309,0,1607,1602,0
OPEN,1976,1966,21,2044,2038,0,1712,1695,0,1264,1289,0,1556,1581,0
OPEN,1965,1957,24,2030,2033,0,1706,1702,0,1400,1285,0,1593,1596,0
OPEN,2000,1976,17,2048,2040,0,1667,1687,0,1385,1330,0,1610,1602,0
OPEN,1947,1963,22,2004,2024,0,1712,1698,0,1219,1280,0,1592,1598,0
OPEN,1971,1969,19,2001,2001,0,1691,1686,0,1398,1322,0,1593,1576,7
OPEN,1962,1966,21,2018,2008,0,1670,1679,0,1334,1327,0,1577,1576,7
OPEN,1951,1959,23,1993,2002,0,1653,1667,4,1198,1269,0,1600,1587,0
OPEN,1944,1940,31,2000,2002,0,1673,1665,5,1281,1248,50,1553,1570,21
OPEN,1939,1940,31,2010,2006,0,1665,1665,5,1360,1299,0,1585,1576,7
OPEN,1943,1941,30,2010,2008,0,1572,1623,20,1314,1306,0,1558,1568,26
OPEN,1925,1938,31,2029,2015,0,1695,1671,3,1344,1278,0,1582,1582,0
OPEN,1978,1956,24,2008,2012,0,1680,1675,2,1341,1306,0,1568,1576,7
OPEN,1972,1963,22,1980,1998,0,1681,1678,1,1192,1255,23,1572,1574,12
OPEN,1977,1964,21,2022,2003,0,1659,1660,7,1395,1296,0,1564,1579,0
OPEN,2015,1987,13,1991,1998,0,1634,1648,11,1403,1344,0,1567,1574,12
OPEN,1974,1981,15,1993,1996,0,1632,1641,13,1245,1300,0,1608,1589,0
OPEN,1937,1931,34,2041,2031,0,1638,1646,12,1395,1303,0,1604,1587,0
OPEN,1938,1934,33,2020,2026,0,1634,1640,14,1345,1322,0,1560,1575,9
OPEN,1948,1944,29,2012,2014,0,1619,1629,17,1422,1321,0,1634,1597,0
OPEN,1920,1933,33,2015,2015,0,1663,1644,12,1317,1319,0,1535,1569,24
OPEN,1916,1937,32,2061,2035,0,1643,1631,17,1416,1313,0,1566,1578,2
OPEN,1940,1939,31,1984,2012,0,1639,1634,16,1354,1332,0,1566,1572,17
OPEN,1951,1944,29,1991,2003,0,1629,1632,16,1275,1306,0,1591,1581,0
OPEN,2048,1985,13,2031,2022,0,1575,1603,26,1448,1315,0,1582,1585,0
OPEN,2022,2002,7,2002,2013,0,1522,1566,39,1342,1327,0,1594,1589,0
OPEN,2088,2062,0,1988,2009,0,1726,1703,0,1323,1274,0,1635,1604,0
OPEN,2034,2049,0,2007,2008,0,1715,1708,0,1324,1296,0,1564,1586,0
OPEN,2015,2027,0,2063,2046,0,1690,1701,0,1383,1273,0,1583,1592,0
OPEN,2058,2041,0,2035,2041,0,1703,1702,0,1394,1328,0,1589,1591,0
OPEN,2052,2046,0,2034,2038,0,1676,1690,0,1243,1290,0,1608,1599,0
OPEN,2065,2053,0,2038,2048,0,1651,1658,7,1477,1332,0,1565,1573,14
OPEN,2029,2042,0,2061,2054,0,1677,1667,4,1327,1330,0,1579,1575,9
OPEN,2047,2044,0,2039,2047,0,1686,1675,2,1202,1272,0,1583,1579,0
OPEN,2054,2046,0,2028,2028,0,1663,1674,2,1316,1270,0,1575,1585,0
OPEN,2056,2050,0,2048,2037,0,1691,1682,0,1402,1329,0,1564,1575,9
OPEN,2019,2036,0,2023,2031,0,1680,1681,0,1408,1365,0,1569,1573,14
OPEN,2037,2037,0,2029,2030,0,1702,1690,0,1249,1313,0,1610,1589,0
OPEN,2044,2046,0,2051,2041,0,1687,1680,0,1372,1346,0,1572,1567,29
OPEN,2045,2046,0,2021,2032,0,1703,1690,0,1209,1285,0,1609,1586,0
OPEN,2040,2029,0,2008,2017,0,1692,1708,0,1271,1248,50,1576,1587,0
OPEN,2085,2059,0,2033,2029,0,1691,1698,0,1461,1330,0,1560,1581,0
OPEN,2054,2057,0,2022,2026,0,1667,1684,0,1355,1342,0,1562,1572,17
OPEN,2049,2043,0,2021,2038,0,1673,1678,1,1292,1253,30,1551,1568,26
OPEN,2021,2033,0,2001,2021,0,1731,1702,0,1415,1326,0,1579,1573,14
OPEN,2044,2038,0,2022,2022,0,1700,1701,0,1337,1331,0,1577,1575,9
OPEN,2045,2041,0,2039,2029,0,1657,1681,0,1164,1256,19,1552,1565,34
OPEN,2047,2041,0,2036,2038,0,1696,1661,6,1295,1258,11,1542,1565,34
OPEN,2025,2034,0,2059,2048,0,1575,1622,20,1479,1357,0,1632,1595,0
OPEN,2035,2034,0,1995,2024,0,1611,1617,22,1324,1342,0,1600,1597,0
OPEN,2003,2020,0,2015,2020,0,1696,1653,9,1143,1253,30,1609,1603,0
OPEN,2056,2035,0,2078,2065,0,1671,1678,1,1373,1359,0,1574,1565,34
OPEN,2049,2042,0,2024,2046,0,1704,1689,0,1176,1277,0,1570,1567,29
OPEN,2052,2047,0,2025,2034,0,1752,1719,0,1396,1309,0,1593,1580,0
OPEN,2040,2044,0,2048,2041,0,1687,1704,0,1367,1335,0,1553,1568,26
OPEN,2015,2031,0,2052,2046,0,1673,1690,0,1187,1268,0,1602,1583,0
OPEN,2064,2047,0,2030,2039,0,1694,1701,0,1456,1331,0,1645,1616,0
OPEN,2039,2043,0,2037,2038,0,1711,1705,0,1345,1338,0,1632,1623,0
OPEN,2015,2031,0,2047,2042,0,1684,1696,0,1225,1287,0,1552,1591,0
OPEN,2055,2042,0,2028,2035,0,1682,1685,0,1347,1281,0,1601,1574,12
OPEN,2027,2035,0,2025,2030,0,1701,1692,0,1360,1317,0,1556,1566,31
OPEN,2053,2043,0,1987,2011,0,1687,1690,0,1261,1292,0,1567,1566,31
OPEN,2028,2029,0,2048,2055,0,1647,1668,4,1270,1248,50,1574,1582,0
OPEN,2084,2054,0,2056,2055,0,1676,1672,3,1405,1319,0,1631,1604,0
OPEN,2039,2047,0,2056,2056,0,1682,1676,1,1366,1340,0,1564,1586,0
OPEN,2043,2045,0,2033,2045,0,1664,1671,3,1320,1331,0,1546,1568,26
OPEN,2057,2055,0,2028,2028,0,1695,1688,0,1390,1349,0,1603,1580,0
OPEN,2078,2055,0,2026,2028,0,1697,1698,0,1300,1310,0,1567,1565,34
OPEN,2052,2055,0,2027,2038,0,1777,1728,0,1435,1325,0,1589,1588,0
OPEN,2046,2051,0,2053,2045,0,1691,1711,0,1400,1359,0,1591,1589,0
OPEN,2028,2041,0,2027,2037,0,1689,1701,0,1189,1282,0,1548,1571,19
OPEN,2057,2052,0,2032,2041,0,1771,1724,0,1399,1307,0,1614,1589,0
OPEN,2044,2048,0,2060,2049,0,1649,1690,0,1378,1339,0,1644,1614,0
OPEN,2008,2030,0,2047,2048,0,1680,1686,0,1196,1275,0,1597,1606,0
OPEN,2019,2028,0,2050,2047,0,1675,1690,0,1419,1311,0,1567,1578,2
OPEN,2057,2041,0,2028,2038,0,1702,1695,0,1393,1348,0,1560,1570,21
OPEN,2020,2032,0,2040,2039,0,1680,1688,0,1156,1262,0,1626,1595,0
OPEN,2052,2043,0,2033,2032,0,1675,1676,1,1270,1255,23,1591,1579,0
OPEN,2026,2035,0,2033,2032,0,1680,1678,1,1380,1311,0,1566,1573,14
OPEN,2036,2036,0,2031,2032,0,1678,1678,1,1300,1306,0,1559,1567,29
OPEN,2030,2035,0,2109,2068,0,1639,1667,4,1431,1313,0,1559,1579,0
OPEN,2031,2033,0,2022,2047,0,1705,1684,0,1335,1323,0,1598,1587,0
OPEN,2016,2026,0,2039,2044,0,1665,1676,1,1188,1262,0,1560,1575,9
OPEN,2052,2044,0,2056,2039,0,1705,1693,0,1278,1261,0,1615,1584,0
OPEN,2027,2036,0,2016,2029,0,1688,1691,0,1309,1283,0,1580,1582,0
OPEN,2053,2035,0,2073,2047,0,1628,1650,10,1290,1254,26,1565,1569,24
OPEN,2055,2042,0,2032,2045,0,1704,1681,0,1283,1258,11,1547,1565,34
OPEN,2046,2044,0,2050,2047,0,1655,1669,4,1480,1358,0,1608,1584,0
OPEN,2054,2048,0,2029,2039,0,1687,1677,1,1322,1342,0,1552,1570,21
OPEN,1950,2004,6,2028,2034,0,1666,1672,3,1151,1256,19,1607,1586,0
OPEN,2035,2036,0,2049,2037,0,1705,1699,0,1385,1298,0,1615,1581,0
OPEN,2072,2052,0,2019,2029,0,1684,1692,0,1419,1352,0,1595,1587,0
OPEN,2027,2041,0,2036,2032,0,1670,1682,0,1207,1287,0,1632,1607,0
OPEN,2073,2051,0,2032,2034,0,1696,1702,0,1436,1303,0,1641,1615,0
OPEN,2049,2050,0,2032,2033,0,1690,1696,0,1380,1338,0,1580,1599,0
OPEN,2030,2020,0,2048,2034,0,1686,1691,0,1351,1331,0,1602,1579,0
OPEN,2024,2022,0,2049,2041,0,1646,1671,3,1202,1273,0,1635,1604,0
OPEN,2072,2044,0,2032,2037,0,1689,1679,0,1216,1247,53,1551,1580,0
OPEN,2043,2040,0,2044,2040,0,1697,1687,0,1384,1305,0,1603,1571,19
OPEN,2019,2030,0,2048,2049,0,1669,1677,1,1319,1326,0,1624,1590,0
OPEN,2036,2033,0,2044,2047,0,1668,1673,2,1148,1246,57,1550,1572,17
OPEN,2036,2029,0,2065,2047,0,1673,1681,0,1404,1314,0,1579,1568,26
OPEN,2053,2040,0,2040,2042,0,1692,1690,0,1244,1299,0,1608,1584,0
OPEN,2008,2025,0,2057,2046,0,1715,1702,0,1331,1282,0,1610,1593,0
OPEN,2037,2030,0,2055,2050,0,1689,1696,0,1280,1281,0,1568,1582,0
OPEN,2032,2040,0,2050,2036,0,1738,1703,0,1369,1293,0,1573,1582,0
OPEN,2054,2046,0,2030,2033,0,1666,1686,0,1313,1302,0,1662,1618,0
OPEN,2040,2044,0,2047,2039,0,1691,1688,0,1347,1322,0,1636,1626,0
OPEN,2048,2046,0,2006,2024,0,1715,1700,0,1190,1263,0,1543,1589,0
OPEN,2065,2049,0,2038,2039,0,1740,1720,0,1368,1288,0,1620,1589,0
OPEN,2037,2044,0,2010,2026,0,1677,1700,0,1343,1313,0,1603,1596,0
OPEN,2076,2063,0,2031,2026,0,1700,1689,0,1444,1327,0,1560,1574,12
OPEN,2050,2057,0,2032,2029,0,1686,1688,0,1376,1349,0,1597,1584,0
OPEN,2035,2047,0,2039,2033,0,1668,1679,0,1242,1301,0,1654,1616,0
OPEN,2052,2041,0,2015,2031,0,1715,1714,0,1294,1305,0,1575,1568,26
OPEN,2059,2048,0,2028,2029,0,1714,1701,0,1413,1298,0,1593,1593,0
OPEN,2032,2041,0,2040,2034,0,1709,1705,0,1392,1340,0,1562,1579,0
OPEN,2027,2035,0,2015,2025,0,1691,1698,0,1227,1289,0,1573,1576,7
OPEN,2062,2042,0,2059,2047,0,1682,1689,0,1378,1287,0,1600,1598,0
OPEN,2063,2051,0,2031,2040,0,1687,1688,0,1368,1324,0,1568,1584,0
OPEN,2035,2044,0,2032,2036,0,1663,1677,1,1168,1254,26,1581,1583,0
OPEN,2087,2062,0,1983,2012,0,1663,1679,0,1431,1320,0,1599,1587,0
OPEN,2057,2060,0,2041,2025,0,1661,1671,3,1287,1305,0,1606,1596,0
OPEN,2033,2048,0,1999,2013,0,1671,1671,3,1225,1269,0,1574,1586,0
OPEN,2087,2056,0,2033,2034,0,1684,1683,0,1399,1327,0,1658,1603,0
OPEN,2028,2043,0,2020,2028,0,1694,1688,0,1319,1323,0,1558,1583,0
OPEN,2040,2038,0,2038,2038,0,1714,1698,0,1307,1260,3,1606,1584,0
OPEN,2059,2048,0,2056,2046,0,1617,1662,6,1382,1315,0,1602,1592,0
OPEN,2037,2043,0,2038,2042,0,1667,1664,5,1259,1290,0,1584,1588,0
OPEN,2046,2048,0,2059,2053,0,1690,1673,2,1377,1284,0,1641,1603,0
OPEN,2052,2050,0,2026,2041,0,1676,1674,2,1408,1340,0,1567,1587,0
OPEN,1983,2020,0,2048,2044,0,1680,1677,1,1302,1323,0,1551,1571,19
OPEN,2060,2038,0,2024,2035,0,1709,1691,0,1175,1256,19,1619,1592,0
OPEN,2044,2047,0,2009,2023,0,1700,1694,0,1401,1309,0,1625,1621,0
OPEN,2052,2049,0,2044,2032,0,1658,1678,1,1429,1363,0,1554,1591,0
INDEX_BENT,1879,1883,52,1958,1955,0,1679,1678,1,1242,1243,69,1588,1583,0
