label,indexRaw,indexSmooth,indexPercent,middleRaw,middleSmooth,middlePercent,ringRaw,ringSmooth,ringPercent,pinkyRaw,pinkySmooth,pinkyPercent,thumbRaw,thumbSmooth,thumbPercent
OPEN,2051,2065,12,2118,2107,0,1689,1689,0,1312,1304,0,1607,1607,0
OPEN,2051,2058,15,2099,2103,0,1700,1694,0,1269,1288,0,1578,1594,0
OPEN,2072,2065,12,2043,2076,0,1692,1693,0,1247,1270,0,1596,1595,0
OPEN,2051,2058,15,2107,2090,0,1670,1683,0,1257,1264,0,1610,1602,0
OPEN,2042,2051,18,2101,2095,0,1717,1698,0,1231,1249,46,1608,1604,0
OPEN,2056,2053,17,2110,2102,0,1684,1692,0,1287,1266,0,1612,1608,0
OPEN,2079,2065,12,2110,2105,0,1692,1692,0,1320,1290,0,1591,1600,0
OPEN,2057,2061,13,2117,2111,0,1687,1690,0,1307,1298,0,1609,1604,0
OPEN,2039,2051,18,2098,2105,0,1695,1692,0,1293,1296,0,1591,1598,0
OPEN,2052,2052,17,2120,2112,0,1696,1694,0,1267,1283,0,1591,1595,0
OPEN,2050,2051,18,2115,2113,0,1679,1687,0,1281,1282,0,1564,1581,0
OPEN,2047,2049,19,2119,2116,0,1708,1697,0,1266,1275,0,1587,1584,0
OPEN,2075,2061,13,2106,2111,0,1688,1693,0,1283,1278,0,1589,1586,0
OPEN,2053,2057,15,2126,2118,0,1692,1692,0,1350,1311,0,1606,1595,0
OPEN,2065,2061,13,2117,2118,0,1671,1683,0,1327,1318,0,1617,1605,0
OPEN,2072,2066,11,2086,2103,0,1682,1682,0,1264,1294,0,1595,1600,0
OPEN,2050,2059,14,2093,2099,0,1686,1684,0,1253,1275,0,1616,1607,0
OPEN,2053,2056,16,2091,2095,0,1685,1684,0,1277,1276,0,1598,1603,0
OPEN,2078,2066,11,2078,2087,0,1704,1693,0,1263,1270,0,1606,1604,0
OPEN,2078,2071,9,2110,2098,0,1694,1694,0,1307,1287,0,1625,1614,0
OPEN,2074,2073,8,2094,2096,0,1709,1701,0,1318,1301,0,1589,1603,0
OPEN,2045,2060,14,2115,2105,0,1718,1708,0,1254,1280,0,1608,1605,0
OPEN,2050,2056,16,2104,2104,0,1696,1703,0,1261,1271,0,1611,1608,0
OPEN,2076,2065,12,2121,2112,0,1718,1710,0,1238,1256,19,1575,1593,0
OPEN,2054,2060,14,2103,2108,0,1697,1704,0,1266,1261,0,1593,1593,0
OPEN,2068,2064,12,2109,2108,0,1692,1699,0,1268,1264,0,1596,1594,0
OPEN,2087,2074,8,2111,2110,0,1693,1696,0,1320,1289,0,1592,1593,0
OPEN,2084,2079,6,2100,2105,0,1692,1694,0,1302,1295,0,1613,1602,0
OPEN,2075,2077,6,2092,2099,0,1687,1691,0,1276,1286,0,1605,1603,0
OPEN,2047,2063,13,2111,2105,0,1694,1692,0,1273,1280,0,1572,1589,0
OPEN,2048,2057,15,2102,2103,0,1695,1694,0,1272,1277,0,1587,1588,0
OPEN,2079,2067,11,2107,2105,0,1673,1684,0,1277,1277,0,1615,1600,0
OPEN,2039,2054,16,2105,2105,0,1690,1687,0,1265,1271,0,1608,1604,0
OPEN,2092,2071,9,2119,2111,0,1695,1691,0,1302,1285,0,1636,1618,0
OPEN,2059,2066,11,2113,2112,0,1673,1683,0,1311,1297,0,1607,1613,0
OPEN,2046,2057,15,2104,2108,0,1702,1691,0,1256,1278,0,1616,1614,0
OPEN,2055,2056,16,2103,2106,0,1696,1693,0,1254,1267,0,1592,1604,0
OPEN,2074,2064,12,2109,2107,0,1687,1691,0,1291,1278,0,1615,1609,0
OPEN,2077,2070,10,2106,2107,0,1691,1691,0,1288,1283,0,1595,1603,0
OPEN,2073,2071,9,2095,2101,0,1712,1700,0,1279,1281,0,1598,1601,0
OPEN,2079,2075,7,2146,2122,0,1701,1701,0,1328,1302,0,1624,1611,0
OPEN,2055,2066,11,2127,2124,0,1687,1694,0,1342,1320,0,1608,1610,0
OPEN,2078,2071,9,2079,2104,0,1682,1689,0,1301,1311,0,1631,1619,0
OPEN,2060,2066,11,2021,2067,3,1680,1685,0,1222,1271,0,1609,1615,0
OPEN,2068,2067,11,2092,2078,0,1695,1689,0,1236,1255,23,1589,1603,0
OPEN,2064,2066,11,2115,2095,0,1699,1694,0,1250,1253,30,1581,1593,0
OPEN,2086,2075,7,2102,2098,0,1648,1673,0,1279,1265,0,1600,1596,0
OPEN,2055,2066,11,2161,2126,0,1702,1686,0,1300,1281,0,1657,1624,0
OPEN,2064,2065,12,2123,2125,0,1692,1689,0,1316,1297,0,1624,1624,0
OPEN,2046,2056,16,2097,2112,0,1512,1609,0,1252,1276,0,1597,1612,0
OPEN,2067,2061,13,2110,2111,0,1676,1639,0,1268,1273,0,1578,1597,0
OPEN,2045,2054,16,2120,2115,0,1456,1557,20,1251,1263,0,1622,1608,0
OPEN,2032,2044,21,2128,2121,0,1564,1560,19,1282,1272,0,1606,1607,0
OPEN,2066,2054,16,2108,2115,0,1562,1561,18,1290,1280,0,1571,1591,0
OPEN,2092,2071,9,2107,2111,0,1472,1521,37,1282,1281,0,1676,1629,0
OPEN,2072,2071,9,2121,2116,0,1672,1589,5,1300,1289,0,1630,1630,0
OPEN,2048,2061,13,2108,2112,0,1693,1636,0,1264,1278,0,1609,1620,0
OPEN,2039,2051,18,2108,2110,0,1684,1657,0,1264,1272,0,1593,1608,0
OPEN,2060,2055,16,2107,2109,0,1661,1659,0,1247,1261,0,1607,1608,0
OPEN,2055,2055,16,2117,2113,0,1688,1672,0,1245,1254,26,1584,1597,0
OPEN,2080,2066,11,2124,2118,0,1698,1684,0,1314,1281,0,1597,1597,0
OPEN,2060,2063,13,2117,2117,0,1684,1684,0,1326,1301,0,1627,1610,0
OPEN,2031,2049,19,2128,2122,0,1531,1615,0,1309,1305,0,1595,1604,0
OPEN,2047,2048,19,2103,2114,0,1696,1651,0,1261,1285,0,1607,1605,0
OPEN,2045,2047,20,2085,2101,0,1687,1667,0,1242,1266,0,1639,1620,0
OPEN,2098,2070,10,2086,2094,0,1725,1693,0,1256,1261,0,1592,1608,0
OPEN,2063,2067,11,2103,2098,0,1686,1690,0,1288,1273,0,1607,1607,0
OPEN,2096,2080,5,2097,2098,0,1718,1703,0,1329,1298,0,1615,1611,0
OPEN,2063,2072,9,2139,2116,0,1671,1688,0,1317,1307,0,1613,1612,0
OPEN,2066,2069,10,2134,2124,0,1692,1690,0,1321,1313,0,1579,1597,0
OPEN,2078,2073,8,2080,2104,0,1681,1686,0,1272,1295,0,1615,1605,0
OPEN,2067,2070,10,2060,2084,0,1728,1705,0,1275,1286,0,1607,1606,0
OPEN,2050,2061,13,2093,2088,0,1699,1702,0,1247,1268,0,1603,1605,0
OPEN,2066,2063,13,2082,2085,0,1659,1683,0,1292,1279,0,1611,1607,0
OPEN,2076,2069,10,2125,2103,0,1645,1666,0,1326,1300,0,1620,1613,0
OPEN,2070,2069,10,2117,2109,0,1723,1692,0,1324,1311,0,1615,1614,0
OPEN,2053,2062,13,2086,2099,0,1654,1675,0,1275,1295,0,1613,1614,0
OPEN,2057,2060,14,2081,2091,0,1545,1616,0,1289,1292,0,1583,1600,0
OPEN,2055,2058,15,2076,2084,0,1677,1644,0,1259,1277,0,1619,1608,0
OPEN,2105,2079,6,2031,2060,9,1468,1565,16,1262,1270,0,1608,1608,0
OPEN,2057,2069,10,2102,2079,0,1713,1631,0,1261,1266,0,1559,1586,0
OPEN,2019,2047,20,2148,2110,0,1697,1661,0,1360,1308,0,1595,1590,0
OPEN,2063,2054,16,2116,2113,0,1703,1680,0,1317,1312,0,1584,1587,0
OPEN,2048,2051,18,2097,2106,0,1660,1671,0,1331,1321,0,1592,1589,0
OPEN,2046,2049,19,2080,2094,0,1692,1680,0,1255,1291,0,1589,1589,0
OPEN,2049,2049,19,2116,2104,0,1500,1599,0,1233,1265,0,1586,1588,0
OPEN,2060,2054,16,2080,2093,0,1707,1648,0,1277,1270,0,1591,1589,0
OPEN,2081,2066,11,2088,2091,0,1681,1663,0,1267,1269,0,1580,1585,0
OPEN,2075,2070,10,2106,2098,0,1665,1664,0,1297,1282,0,1598,1591,0
OPEN,2061,2066,11,2128,2111,0,1682,1672,0,1317,1297,0,1606,1598,0
OPEN,2078,2071,9,2079,2097,0,1693,1681,0,1275,1287,0,1589,1594,0
OPEN,2051,2062,13,2121,2108,0,1451,1578,10,1251,1271,0,1607,1600,0
OPEN,2072,2067,11,2109,2108,0,1386,1491,52,1239,1257,15,1598,1599,0
OPEN,2044,2056,16,2111,2109,0,1450,1473,61,1254,1255,23,1611,1604,0
OPEN,2068,2062,13,2096,2103,0,1394,1437,78,1276,1265,0,1606,1605,0
OPEN,2091,2075,7,2135,2118,0,1357,1401,95,1364,1309,0,1601,1603,0
OPEN,2082,2078,6,2126,2121,0,1355,1380,100,1339,1323,0,1582,1594,0
OPEN,2048,2065,12,2105,2114,0,1376,1378,100,1316,1320,0,1587,1591,0
OPEN,2055,2060,14,2084,2101,0,1379,1379,100,1253,1290,0,1599,1594,0
OPEN,2055,2058,15,2115,2107,0,1342,1362,100,1243,1269,0,1594,1594,0
OPEN,2060,2059,14,2125,2115,0,1376,1368,100,1276,1272,0,1596,1595,0
OPEN,2078,2067,11,2120,2117,0,1392,1379,100,1278,1275,0,1622,1607,0
OPEN,2081,2074,8,2117,2117,0,1350,1366,100,1308,1290,0,1626,1616,0
OPEN,2020,2049,19,2125,2121,0,1381,1373,100,1280,1285,0,1598,1608,0
OPEN,2055,2052,17,2107,2115,0,1368,1371,100,1251,1270,0,1594,1602,0
OPEN,2042,2047,20,2109,2112,0,1385,1377,100,1235,1254,26,1603,1602,0
OPEN,2060,2053,17,2099,2106,0,1384,1380,100,1239,1247,53,1570,1588,0
OPEN,2060,2056,16,2132,2118,0,1368,1375,100,1267,1256,19,1604,1595,0
OPEN,2072,2063,13,2122,2120,0,1406,1389,100,1309,1280,0,1609,1601,0
OPEN,2067,2065,12,2127,2123,0,1402,1395,98,1317,1297,0,1611,1606,0
OPEN,2076,2070,10,2087,2107,0,1390,1393,99,1294,1295,0,1582,1595,0
OPEN,2056,2064,12,2108,2107,0,1386,1390,100,1237,1269,0,1595,1595,0
OPEN,2051,2058,15,2140,2122,0,1366,1379,100,1262,1266,0,1600,1597,0
OPEN,2065,2061,13,2112,2118,0,1442,1407,92,1247,1257,15,1575,1587,0
OPEN,2087,2073,8,2102,2111,0,1358,1385,100,1279,1267,0,1594,1590,0
OPEN,2063,2068,10,2141,2124,0,1382,1384,100,1303,1283,0,1642,1614,0
OPEN,2067,2068,10,2104,2115,0,1346,1367,100,1340,1309,0,1603,1609,0
OPEN,2035,2053,17,2104,2110,0,1374,1370,100,1268,1290,0,1587,1599,0
OPEN,2049,2051,18,2108,2109,0,1374,1372,100,1243,1269,0,1588,1594,0
OPEN,2062,2056,16,2127,2117,0,1366,1369,100,1262,1266,0,1623,1607,0
OPEN,2043,2050,18,2127,2122,0,1348,1360,100,1267,1266,0,1589,1599,0
OPEN,2076,2062,13,2113,2118,0,1350,1355,100,1272,1269,0,1567,1585,0
OPEN,2066,2064,12,2143,2129,0,1361,1358,100,1323,1293,0,1601,1592,0
OPEN,2059,2062,13,2133,2131,0,1379,1367,100,1301,1297,0,1616,1603,0
OPEN,2056,2059,14,2087,2111,0,1329,1350,100,1236,1269,0,1581,1593,0
OPEN,2048,2054,16,2093,2103,0,1430,1386,100,1255,1263,0,1554,1575,9
OPEN,2073,2063,13,2112,2107,0,1370,1379,100,1272,1267,0,1585,1580,0
OPEN,2065,2064,12,2055,2084,0,1287,1338,100,1263,1265,0,1567,1574,12
OPEN,2042,2054,16,2069,2077,0,1369,1352,100,1323,1291,0,1585,1579,0
OPEN,2087,2069,10,2101,2088,0,1343,1348,100,1315,1302,0,1604,1590,0
OPEN,2058,2064,12,2083,2086,0,1487,1410,91,1318,1309,0,1595,1592,0
OPEN,2056,2060,14,2100,2092,0,1408,1409,91,1249,1282,0,1592,1592,0
OPEN,2074,2067,11,2082,2088,0,1400,1405,93,1279,1281,0,1610,1600,0
OPEN,2063,2065,12,2098,2092,0,1436,1419,87,1265,1274,0,1576,1589,0
OPEN,2077,2070,10,2099,2095,0,1452,1434,79,1314,1292,0,1588,1589,0
OPEN,2070,2070,10,2125,2109,0,1448,1440,76,1334,1311,0,1582,1586,0
OPEN,2048,2060,14,2123,2115,0,1453,1446,74,1320,1315,0,1615,1599,0
OPEN,2098,2077,6,2083,2101,0,1420,1434,79,1303,1310,0,1596,1598,0
OPEN,2056,2068,10,2097,2099,0,1416,1426,83,1252,1284,0,1602,1600,0
OPEN,2073,2070,10,2079,2090,0,1419,1423,85,1278,1281,0,1589,1595,0
OPEN,2059,2065,12,2094,2092,0,1441,1431,81,1269,1276,0,1612,1603,0
OPEN,2081,2072,9,2079,2086,0,1397,1416,88,1303,1288,0,1597,1600,0
OPEN,2091,2081,5,2129,2105,0,1403,1410,91,1295,1291,0,1623,1610,0
